Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
09 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-PNJZVN2-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124891828765069,124891829165069,Delivered,PK-DEX,standard,Dropshipping,124891829165069,,
09 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-I9ILIY8-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-45.20,5.20,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124891828765069,124891829165069,Delivered,PK-DEX,standard,Dropshipping,124891829165069,,
09 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-V0T4Y78-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124891828765069,124891829165069,Delivered,PK-DEX,standard,Dropshipping,124891829165069,,
09 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-7KUDUE3-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124891828765069,124891829165069,Delivered,PK-DEX,standard,Dropshipping,124891829165069,,
10 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-GLMUMQI-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832448795077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832448795077,,
10 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-CE8OGH1-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,40.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832448795077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832448795077,,
10 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-UBU4XAL-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832448795077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832448795077,,
10 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-S842PVV-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-45.20,5.20,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832448795077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832448795077,,
10 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-G067O1S-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832448795077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832448795077,,
10 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-BNW9GXM-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832448795077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832448795077,,
09 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-IAQEHFX-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125449384435188,125449384535188,Delivered,PK-DEX,standard,Dropshipping,125449384535188,,
09 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-NGMCNYF-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,25.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125449384435188,125449384535188,Delivered,PK-DEX,standard,Dropshipping,125449384535188,,
09 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-PCF1KMG-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125449384435188,125449384535188,Delivered,PK-DEX,standard,Dropshipping,125449384535188,,
09 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-436MI0B-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-28.25,3.25,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125449384435188,125449384535188,Delivered,PK-DEX,standard,Dropshipping,125449384535188,,
09 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-PYDXARL-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125449384435188,125449384535188,Delivered,PK-DEX,standard,Dropshipping,125449384535188,,
09 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-UZ9OI2S-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125449384435188,125449384535188,Delivered,PK-DEX,standard,Dropshipping,125449384535188,,
10 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-2447O6D-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125458131468352,125458132368352,Delivered,Rider,standard,Dropshipping,125458132368352,,
10 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-QAT4PCE-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,49.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125458131468352,125458132368352,Delivered,Rider,standard,Dropshipping,125458132368352,,
10 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-D8VC1LW-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125458131468352,125458132368352,Delivered,Rider,standard,Dropshipping,125458132368352,,
